Ano,Pmax(mm/dia)
1961,68
1962,52.8
1963,66.8
1964,58.7
1965,98.8
1966,84.9
1967,95
1968,80
1969,43.9
1970,107.7
1971,46.4
1972,84.9
1973,61
1974,125.1
1975,56.3
1976,66.7
1977,81.3
1978,44.4
1979,38.7
1980,42.2
1981,109.5
1982,138.8
1983,92.9
1984,73.3
1985,74
1986,82.7
1987,60.8
1988,42
1989,64
1990,94.5
1991,93
1992,78.3
1993,67.8
1994,69.8
1995,70.3
1996,66.1
1997,60.3
1998,56.4
1999,95.1
2000,74.7
2001,73
2002,81.3
2003,74.1
2004,71.9
2005,84
2006,65.1
2007,78.7
2008,149.6
2009,78.8
2010,79.6
2011,77.2
2012,85.4
2013,105.5
2014,95.5
2015,83.1
